species_binomial,phylum,source
Amaroucium spitzbergense,chordata,GoMA_census_fauna
Amaroucium stellatum,chordata,GoMA_census_fauna
Aplidium glabrum,chordata,GoMA_census_fauna
Aplidium pallidum,chordata,GoMA_census_fauna
Ascidiella aspera,chordata,GoMA_census_fauna
Ascidia callosa,chordata,GoMA_census_fauna
Ascidia prunum,chordata,GoMA_census_fauna
Boltenia echinata,chordata,GoMA_census_fauna
Boltenia ovifera,chordata,GoMA_census_fauna
Bostrichobranchus pilularis,chordata,GoMA_census_fauna
Botrylloides diegense,chordata,GoMA_census_fauna
Botryllus schlosseri,chordata,GoMA_census_fauna
Chelyosoma macleayanum,chordata,GoMA_census_fauna
Ciona intestinalis,chordata,GoMA_census_fauna
Cnemidocarpa mollis,chordata,GoMA_census_fauna
Dendrodoa carnea,chordata,GoMA_census_fauna
Dendrodoa grossularia,chordata,GoMA_census_fauna
Dendrodoa pulchella,chordata,GoMA_census_fauna
Didemnum albidum,chordata,GoMA_census_fauna
Didemnum candidum,chordata,GoMA_census_fauna
Distaplia clavata,chordata,GoMA_census_fauna
Halocynthia pyriformis,chordata,GoMA_census_fauna
Lissoclinum aureum,chordata,GoMA_census_fauna
Molgula arenata,chordata,GoMA_census_fauna
Molgula citrina,chordata,GoMA_census_fauna
Molgula complanata,chordata,GoMA_census_fauna
Molgula griffithsi,chordata,GoMA_census_fauna
Molgula manhattensis,chordata,GoMA_census_fauna
Molgula provisionalis,chordata,GoMA_census_fauna
Molgula retortiformis,chordata,GoMA_census_fauna
Molgula siphonalis,chordata,GoMA_census_fauna
Polycarpa fibrosa,chordata,GoMA_census_fauna
Styela coriacea,chordata,GoMA_census_fauna
Styela partita,chordata,GoMA_census_fauna
Trididemnum tenerum,chordata,GoMA_census_fauna
Iasis zonaria,chordata,GoMA_census_fauna
Salpa fusiformis,chordata,GoMA_census_fauna
Salpa sp.,chordata,GoMA_census_fauna
Thalia democratica,chordata,GoMA_census_fauna
Abietinaria abietina,cnidaria,GoMA_census_fauna
Abietinaria filicula,cnidaria,GoMA_census_fauna
Acaulis primarius,cnidaria,GoMA_census_fauna
Aequorea aequorea,cnidaria,GoMA_census_fauna
Aequorea albida,cnidaria,GoMA_census_fauna
Aglantha digitalis,cnidaria,GoMA_census_fauna
Aselomaris michaeli,cnidaria,GoMA_census_fauna
Bougainvillia superciliaris,cnidaria,GoMA_census_fauna
Calycella syringa,cnidaria,GoMA_census_fauna
Campanulina lacerata,cnidaria,GoMA_census_fauna
Campanularia groenlandica,cnidaria,GoMA_census_fauna
Campanularia volubilis,cnidaria,GoMA_census_fauna
Candelabrum phrygium,cnidaria,GoMA_census_fauna
Catablema vesicarium,cnidaria,GoMA_census_fauna
Clava multicornis,cnidaria,GoMA_census_fauna
Clytia gracilis,cnidaria,GoMA_census_fauna
Clytia hemisphaerica,cnidaria,GoMA_census_fauna
Corymorpha pendula,cnidaria,GoMA_census_fauna
Coryne sarsi,cnidaria,GoMA_census_fauna
Cuspidella costata,cnidaria,GoMA_census_fauna
Cuspidella grandis,cnidaria,GoMA_census_fauna
Cuspidella humilis,cnidaria,GoMA_census_fauna
Dicoryne conferta,cnidaria,GoMA_census_fauna
Dicoryne flexuosa,cnidaria,GoMA_census_fauna
Diphasia fallax,cnidaria,GoMA_census_fauna
Diphasia pinastrum,cnidaria,GoMA_census_fauna
Dynamena pumila,cnidaria,GoMA_census_fauna
Ectopleura crocea,cnidaria,GoMA_census_fauna
Ectopleura larynx,cnidaria,GoMA_census_fauna
Eucheilota ventricularis,cnidaria,GoMA_census_fauna
Eudendrium arbusculum,cnidaria,GoMA_census_fauna
Eudendrium capillare,cnidaria,GoMA_census_fauna
Eudendrium carneum,cnidaria,GoMA_census_fauna
Eudendrium cingulatum,cnidaria,GoMA_census_fauna
Eudendrium cochleatum,cnidaria,GoMA_census_fauna
Eudendrium dispar,cnidaria,GoMA_census_fauna
Eudendrium insigne,cnidaria,GoMA_census_fauna
Eudendrium ramosum,cnidaria,GoMA_census_fauna
Eudendrium tenellum,cnidaria,GoMA_census_fauna
Euphysa aurata,cnidaria,GoMA_census_fauna
Garveia groenlandica,cnidaria,GoMA_census_fauna
Gonionemus vertens,cnidaria,GoMA_census_fauna
Halammohydra octopodides,cnidaria,GoMA_census_fauna
Halecium articulosum,cnidaria,GoMA_census_fauna
Halecium beanii,cnidaria,GoMA_census_fauna
Halecium halecium,cnidaria,GoMA_census_fauna
Halecium muricatum,cnidaria,GoMA_census_fauna
Halecium sessile,cnidaria,GoMA_census_fauna
Halitiara formosa,cnidaria,GoMA_census_fauna
Halopsis ocellata,cnidaria,GoMA_census_fauna
Hybocodon pendulus,cnidaria,GoMA_census_fauna
Hybocodon prolifer,cnidaria,GoMA_census_fauna
Hydractinia americana,cnidaria,GoMA_census_fauna
Hydractinia borealis,cnidaria,GoMA_census_fauna
Hydractinia echinata,cnidaria,GoMA_census_fauna
Hydractinia polyclina,cnidaria,GoMA_census_fauna
Hydractinia valens,cnidaria,GoMA_census_fauna
Hydrallmania falcata,cnidaria,GoMA_census_fauna
Lafoea dumosa,cnidaria,GoMA_census_fauna
Lafoea gracillima,cnidaria,GoMA_census_fauna
Laomedea calceolifera,cnidaria,GoMA_census_fauna
Laomedea dichotoma,cnidaria,GoMA_census_fauna
Laomedea flexuosa,cnidaria,GoMA_census_fauna
Laomedea geniculata,cnidaria,GoMA_census_fauna
Laomedea gracilis,cnidaria,GoMA_census_fauna
Laomedea loveni,cnidaria,GoMA_census_fauna
Laomedea neglecta,cnidaria,GoMA_census_fauna
Lar sabellarum,cnidaria,GoMA_census_fauna
Leuckartiara octona,cnidaria,GoMA_census_fauna
Lytocarpia myriophyllum,cnidaria,GoMA_census_fauna
Melicertum octocostatum,cnidaria,GoMA_census_fauna
Mitrocomella polydiademata,cnidaria,GoMA_census_fauna
Nemertesia americana,cnidaria,GoMA_census_fauna
Nemertesia antennina,cnidaria,GoMA_census_fauna
Nemopsis bachei,cnidaria,GoMA_census_fauna
Obelia bidentata,cnidaria,GoMA_census_fauna
Obelia dichotoma,cnidaria,GoMA_census_fauna
Obelia geniculata,cnidaria,GoMA_census_fauna
Obelia longissima,cnidaria,GoMA_census_fauna
Opercularella lacerata,cnidaria,GoMA_census_fauna
Orthopyxis integra,cnidaria,GoMA_census_fauna
Pericladium mirabilis,cnidaria,GoMA_census_fauna
Phialidium bicophorum,cnidaria,GoMA_census_fauna
Phialidium languidum,cnidaria,GoMA_census_fauna
Physalia physalis,cnidaria,GoMA_census_fauna
Plumularia gracillima,cnidaria,GoMA_census_fauna
Podocoryne americana,cnidaria,GoMA_census_fauna
Podocoryne borealis,cnidaria,GoMA_census_fauna
Podocoryne carnea,cnidaria,GoMA_census_fauna
Polyplumaria gracillima,cnidaria,GoMA_census_fauna
Proboscidactyla sp.,cnidaria,GoMA_census_fauna
Ptotohydra leuckarti,cnidaria,GoMA_census_fauna
Ptychogena lactea,cnidaria,GoMA_census_fauna
Rathkea octopunctata,cnidaria,GoMA_census_fauna
Rhacostoma atlanticum,cnidaria,GoMA_census_fauna
Rhizocaulus verticillatus,cnidaria,GoMA_census_fauna
Rhizogeton fusiformis,cnidaria,GoMA_census_fauna
Sarsia lovenii,cnidaria,GoMA_census_fauna
Sarsia mirabilis,cnidaria,GoMA_census_fauna
Sarsia tubulosa,cnidaria,GoMA_census_fauna
Schizotricha tenella,cnidaria,GoMA_census_fauna
Selaginopsis cylindrica,cnidaria,GoMA_census_fauna
Sertularella polyzonias,cnidaria,GoMA_census_fauna
Sertularella rugosa,cnidaria,GoMA_census_fauna
Sertularia argentea,cnidaria,GoMA_census_fauna
Sertularia cupressina,cnidaria,GoMA_census_fauna
Sertularia similis,cnidaria,GoMA_census_fauna
Staurocoryne producta,cnidaria,GoMA_census_fauna
Staurophora mertensi,cnidaria,GoMA_census_fauna
Symplectoscyphus tricuspidatus,cnidaria,GoMA_census_fauna
Tamarisca tamarisca,cnidaria,GoMA_census_fauna
Thuiaria articulata,cnidaria,GoMA_census_fauna
Thuiaria laxa,cnidaria,GoMA_census_fauna
Tiaropsis multicirrata,cnidaria,GoMA_census_fauna
Tima formosa,cnidaria,GoMA_census_fauna
Tubularia indivisa,cnidaria,GoMA_census_fauna
Zanclea costata,cnidaria,GoMA_census_fauna
Agalma elegans,cnidaria,GoMA_census_fauna
Lensia conoidea,cnidaria,GoMA_census_fauna
Nanomia cara,cnidaria,GoMA_census_fauna
Physalia physalia,cnidaria,GoMA_census_fauna
Atolla wyvillei,cnidaria,GoMA_census_fauna
Aurelia aurita,cnidaria,GoMA_census_fauna
Aurelia limbata,cnidaria,GoMA_census_fauna
Cyanea capillata,cnidaria,GoMA_census_fauna
Pelagia noctiluca,cnidaria,GoMA_census_fauna
Periphylla periphylla,cnidaria,GoMA_census_fauna
Phacellophora camtschatica,cnidaria,GoMA_census_fauna
Craterolophus convolvulus,cnidaria,GoMA_census_fauna
Haliclystus auricula,cnidaria,GoMA_census_fauna
Haliclystus octoradiatus,cnidaria,GoMA_census_fauna
Haliclystus salpinx,cnidaria,GoMA_census_fauna
Halimocyathus lagena,cnidaria,GoMA_census_fauna
Halimocyathus platypus,cnidaria,GoMA_census_fauna
Halmocyathus lagena,cnidaria,GoMA_census_fauna
Lucernaria quadricornis,cnidaria,GoMA_census_fauna
Thaumatoscyphus atlanticus,cnidaria,GoMA_census_fauna
Actinia obtruncata,cnidaria,GoMA_census_fauna
Actinia sipunculoides,cnidaria,GoMA_census_fauna
Actinauge longicornis,cnidaria,GoMA_census_fauna
Actinauge rugosa,cnidaria,GoMA_census_fauna
Actinauge verrilli,cnidaria,GoMA_census_fauna
Actinostola callosa,cnidaria,GoMA_census_fauna
Adamsia sociabilis,cnidaria,GoMA_census_fauna
Aulactinia stella,cnidaria,GoMA_census_fauna
Bicidiopsis tubicola,cnidaria,GoMA_census_fauna
Diadumene leucolena,cnidaria,GoMA_census_fauna
Haliplanella lineata,cnidaria,GoMA_census_fauna
Edwardsia elegans,cnidaria,GoMA_census_fauna
Edwardsia farinacea,cnidaria,GoMA_census_fauna
Edwardsia lineata,cnidaria,GoMA_census_fauna
Edwardsia sipunculoides,cnidaria,GoMA_census_fauna
Gonactinia prolifera,cnidaria,GoMA_census_fauna
Halcampa duodecimcirrata,cnidaria,GoMA_census_fauna
Haloclava producta,cnidaria,GoMA_census_fauna
Hormathia digitata,cnidaria,GoMA_census_fauna
Homarthia tuberculosa,cnidaria,GoMA_census_fauna
Iyanthus laevis,cnidaria,GoMA_census_fauna
Mesacmaea laevis,cnidaria,GoMA_census_fauna
Metridium marginatum,cnidaria,GoMA_census_fauna
Metridium senile,cnidaria,GoMA_census_fauna
Nematostella vectensis,cnidaria,GoMA_census_fauna
Peachia parasitica,cnidaria,GoMA_census_fauna
Sagartiogeton verrilli,cnidaria,GoMA_census_fauna
Stephanauge abyssicola,cnidaria,GoMA_census_fauna
Stomphia coccinea,cnidaria,GoMA_census_fauna
Stomphia carneola,cnidaria,GoMA_census_fauna
Urticina consors,cnidaria,GoMA_census_fauna
Urticina felina,cnidaria,GoMA_census_fauna
Alcyonium digitatum,cnidaria,GoMA_census_fauna
Drifa glomerata,cnidaria,GoMA_census_fauna
Eunephthya rubiformis,cnidaria,GoMA_census_fauna
Gersemia carnea,cnidaria,GoMA_census_fauna
Gersemia fruticosa,cnidaria,GoMA_census_fauna
Gersemia rubiformis,cnidaria,GoMA_census_fauna
Arachnactis brachiolata,cnidaria,GoMA_census_fauna
Cerianthus borealis,cnidaria,GoMA_census_fauna
Acanthogorgia armata,cnidaria,GoMA_census_fauna
Anthothela grandiflora,cnidaria,GoMA_census_fauna
Keratoisis ornata,cnidaria,GoMA_census_fauna
Paragorgia arborea,cnidaria,GoMA_census_fauna
Paramuricea grandis,cnidaria,GoMA_census_fauna
Paramuricea placomus,cnidaria,GoMA_census_fauna
Primnoa reseda,cnidaria,GoMA_census_fauna
Primnoa resedaeformis,cnidaria,GoMA_census_fauna
Anthoptilum grandiflorum,cnidaria,GoMA_census_fauna
Lophelia pertusa,cnidaria,GoMA_census_fauna
Flabellum alabastrum,cnidaria,GoMA_census_fauna
Epizoanthus americanus,cnidaria,GoMA_census_fauna
Epizoanthus incrustatus,cnidaria,GoMA_census_fauna
Epizoanthus paguriphilus,cnidaria,GoMA_census_fauna
Hormiphora cucumis,ctenophora,GoMA_census_fauna
Bereo cucumis,ctenophora,GoMA_census_fauna
Bolinopsis infundibulum,ctenophora,GoMA_census_fauna
Mertensia ovum,ctenophora,GoMA_census_fauna
Pleurobrachia pileus,ctenophora,GoMA_census_fauna
Chiridota laevis,echinodermata,GoMA_census_fauna
Cucumaria frondosa,echinodermata,GoMA_census_fauna
Duasmodactyla commune,echinodermata,GoMA_census_fauna
Leptosynapta inhaerens,echinodermata,GoMA_census_fauna
Leptosynapta roseola,echinodermata,GoMA_census_fauna
Psolus fabricii,echinodermata,GoMA_census_fauna
Psolus phantapus,echinodermata,GoMA_census_fauna
Rhabdomolgus fuscus,echinodermata,GoMA_census_fauna
Sclerodactyla briareus,echinodermata,GoMA_census_fauna
Stereoderma unisemita,echinodermata,GoMA_census_fauna
Thyonidium drummondi,echinodermata,GoMA_census_fauna
Asterias forbesi,echinodermata,GoMA_census_fauna
Asterias rubens,echinodermata,GoMA_census_fauna
Ceramaster granularis,echinodermata,GoMA_census_fauna
Crossaster papposus,echinodermata,GoMA_census_fauna
Ctenodiscus crispatus,echinodermata,GoMA_census_fauna
Gorgonocephalus arcticus,echinodermata,GoMA_census_fauna
Henricia eschrichti,echinodermata,GoMA_census_fauna
Henricia sanguinolenta,echinodermata,GoMA_census_fauna
Hippasteria phrygiana,echinodermata,GoMA_census_fauna
Leptasterias groenlandica,echinodermata,GoMA_census_fauna
Leptasterias littoralis,echinodermata,GoMA_census_fauna
Leptasterias muelleri,echinodermata,GoMA_census_fauna
Leptasterias polaris,echinodermata,GoMA_census_fauna
Leptasterias tenera,echinodermata,GoMA_census_fauna
Pontaster tenuispinus,echinodermata,GoMA_census_fauna
Porania pulvillus insignis,echinodermata,GoMA_census_fauna
Pteraster militaris,echinodermata,GoMA_census_fauna
Pteraster pulvillus,echinodermata,GoMA_census_fauna
Solaster endeca,echinodermata,GoMA_census_fauna
Stephanasterias albula,echinodermata,GoMA_census_fauna
Urasterias lincki,echinodermata,GoMA_census_fauna
Cidaris cidaris,echinodermata,GoMA_census_fauna
Echinarachnius parma,echinodermata,GoMA_census_fauna
Strongylocentrotus droebachiensis,echinodermata,GoMA_census_fauna
Amphipholis squamata,echinodermata,GoMA_census_fauna
Ophiacantha bidentata,echinodermata,GoMA_census_fauna
Ophiomitrella clavigera,echinodermata,GoMA_census_fauna
Ophiomusium lymani,echinodermata,GoMA_census_fauna
Ophiopholis aculeata,echinodermata,GoMA_census_fauna
Ophiura robusta,echinodermata,GoMA_census_fauna
Ophiura sarsi,echinodermata,GoMA_census_fauna
Thalassema viride,annelida,GoMA_census_fauna
Aetea anguina,bryozoan,GoMA_census_fauna
Aeverrillia armata,bryozoan,GoMA_census_fauna
Aeverrillia setigera,bryozoan,GoMA_census_fauna
Alcyonidium hirsutum,bryozoan,GoMA_census_fauna
Alcyonidium polyoum,bryozoan,GoMA_census_fauna
Barentsia major,bryozoan,GoMA_census_fauna
Bowerbankia gracilis,bryozoan,GoMA_census_fauna
Bugula fulva,bryozoan,GoMA_census_fauna
Bugula simplex,bryozoan,GoMA_census_fauna
Bugula turrita,bryozoan,GoMA_census_fauna
Caberea ellisii,bryozoan,GoMA_census_fauna
Callopora aurita,bryozoan,GoMA_census_fauna
Callopora craticula,bryozoan,GoMA_census_fauna
Callopora dumerilii,bryozoan,GoMA_census_fauna
Callopora whiteavesii,bryozoan,GoMA_census_fauna
Cauloramphus cymbaeformis,bryozoan,GoMA_census_fauna
Cellepora hyalina,bryozoan,GoMA_census_fauna
Conopeum reticulum,bryozoan,GoMA_census_fauna
Cribrilina annulata,bryozoan,GoMA_census_fauna
Cribrilina pallasiana,bryozoan,GoMA_census_fauna
Crisia cribraria,bryozoan,GoMA_census_fauna
Crisia denticulata,bryozoan,GoMA_census_fauna
Crisia eburnea,bryozoan,GoMA_census_fauna
Cryptosula pallasiana,bryozoan,GoMA_census_fauna
Dendrobeania decorata,bryozoan,GoMA_census_fauna
Dendrobeania fruticosa,bryozoan,GoMA_census_fauna
Dendrobeania murrayana,bryozoan,GoMA_census_fauna
Electra arctica,bryozoan,GoMA_census_fauna
Electra crustulenta,bryozoan,GoMA_census_fauna
Electra monostachys,bryozoan,GoMA_census_fauna
Electra pilosa,bryozoan,GoMA_census_fauna
Entalophoroecia deflexa,bryozoan,GoMA_census_fauna
Escharella immersa,bryozoan,GoMA_census_fauna
Eucratea loricata,bryozoan,GoMA_census_fauna
Flustrellidra hispida,bryozoan,GoMA_census_fauna
Hippoporina contracta,bryozoan,GoMA_census_fauna
Hippoporina hylina,bryozoan,GoMA_census_fauna
Hippoporina propinqua,bryozoan,GoMA_census_fauna
Hippoporina reticulatopunctata,bryozoan,GoMA_census_fauna
Hippothoa hyalina,bryozoan,GoMA_census_fauna
Lichenopora hispida,bryozoan,GoMA_census_fauna
Lichenopora verrucaria,bryozoan,GoMA_census_fauna
Membranipora sp.,bryozoan,GoMA_census_fauna
Membranipora tenuis,bryozoan,GoMA_census_fauna
Microporella ciliata,bryozoan,GoMA_census_fauna
Myriapora subgracila,bryozoan,GoMA_census_fauna
Nolella stipata,bryozoan,GoMA_census_fauna
Oncousoecia diastroporides,bryozoan,GoMA_census_fauna
Pedicellina cernua,bryozoan,GoMA_census_fauna
Porella smitti,bryozoan,GoMA_census_fauna
Porelloides laevis,bryozoan,GoMA_census_fauna
Posterula sarsi,bryozoan,GoMA_census_fauna
Pseudoflustra solida,bryozoan,GoMA_census_fauna
Rhamphostomella bilaminata,bryozoan,GoMA_census_fauna
Rhamphostomella costata,bryozoan,GoMA_census_fauna
Rhamphostomella scabra,bryozoan,GoMA_census_fauna
Schizomavella auriculata,bryozoan,GoMA_census_fauna
Schizoporella biperta,bryozoan,GoMA_census_fauna
Schizoporella obesa,bryozoan,GoMA_census_fauna
Schizoporella unicornis,bryozoan,GoMA_census_fauna
Stegohornera violacea,bryozoan,GoMA_census_fauna
Tegella unicornis,bryozoan,GoMA_census_fauna
Tricellaria gracilis,bryozoan,GoMA_census_fauna
Tricellaria peachii,bryozoan,GoMA_census_fauna
Triticella pedicellata,bryozoan,GoMA_census_fauna
Tricellaria ternata,bryozoan,GoMA_census_fauna
Tubulipora liliacea,bryozoan,GoMA_census_fauna
Turbicellepora canaliculata,bryozoan,GoMA_census_fauna
Protoglossus graveolens,hemichordata,GoMA_census_fauna
Rhabdopleura compacta,hemichordata,GoMA_census_fauna
Saccoglossus bromophenolosus,hemichordata,GoMA_census_fauna
Saccoglossus kowalevskii,hemichordata,GoMA_census_fauna
Stereobalanus canadensis,hemichordata,GoMA_census_fauna
Amicula vestita,mollusca,GoMA_census_fauna
Chaetoderma canadense,mollusca,GoMA_census_fauna
Chaetoderma nitidulum,mollusca,GoMA_census_fauna
Hanleya dalli,mollusca,GoMA_census_fauna
Hanleya hanleyi,mollusca,GoMA_census_fauna
Hanleya mendicaria,mollusca,GoMA_census_fauna
Hanleya negalfar,mollusca,GoMA_census_fauna
Ischnochiton albus,mollusca,GoMA_census_fauna
Ischnochiton ruber,mollusca,GoMA_census_fauna
Lepidopleurus articus,mollusca,GoMA_census_fauna
Lepidopleurus cancellatus,mollusca,GoMA_census_fauna
Tonicella marmorea,mollusca,GoMA_census_fauna
Tonicella rubra,mollusca,GoMA_census_fauna
Acirsa borealis,mollusca,GoMA_census_fauna
Acirsa eschrichi,mollusca,GoMA_census_fauna
Aclis striata,mollusca,GoMA_census_fauna
Aclis verrilli,mollusca,GoMA_census_fauna
Admete couthouyi,mollusca,GoMA_census_fauna
Admete viridula,mollusca,GoMA_census_fauna
Alderia modesta,mollusca,GoMA_census_fauna
Alvania areolata,mollusca,GoMA_census_fauna
Alvania exarata,mollusca,GoMA_census_fauna
Alvania multilineata,mollusca,GoMA_census_fauna
Alvania pseudoareolata,mollusca,GoMA_census_fauna
Amauropsis islandica,mollusca,GoMA_census_fauna
Amnicola limosus,mollusca,GoMA_census_fauna
Amphissa acutecostata,mollusca,GoMA_census_fauna
Amphissa haliaeeti,mollusca,GoMA_census_fauna
Anachis lafresnayi,mollusca,GoMA_census_fauna
Anatoma crispata,mollusca,GoMA_census_fauna
Aporrhais occidentalis,mollusca,GoMA_census_fauna
Astyris lunata,mollusca,GoMA_census_fauna
Astyris rosacea,mollusca,GoMA_census_fauna
Astyris zonalis,mollusca,GoMA_census_fauna
Benthonella tenella,mollusca,GoMA_census_fauna
Bittiolum alternatum,mollusca,GoMA_census_fauna
Bittium alternatum,mollusca,GoMA_census_fauna
Boonea bisuturalis,mollusca,GoMA_census_fauna
Boonea seminuda,mollusca,GoMA_census_fauna
Boreotrophon clathratus,mollusca,GoMA_census_fauna
Boreotrophon truncatus,mollusca,GoMA_census_fauna
Buccinum abyssorum,mollusca,GoMA_census_fauna
Buccinum ciliatum,mollusca,GoMA_census_fauna
Buccinum polaris,mollusca,GoMA_census_fauna
Buccinum totteni,mollusca,GoMA_census_fauna
Buccinum undatum,mollusca,GoMA_census_fauna
Bulbus smithii,mollusca,GoMA_census_fauna
Caecum pulchellum,mollusca,GoMA_census_fauna
Calliostoma bairdi,mollusca,GoMA_census_fauna
Calliostoma occidentale,mollusca,GoMA_census_fauna
Calliotropis regalis,mollusca,GoMA_census_fauna
Capulus ungaricus,mollusca,GoMA_census_fauna
Cavolinia gibbosa,mollusca,GoMA_census_fauna
Cavolinia inflexa,mollusca,GoMA_census_fauna
Cavolinia longirostris,mollusca,GoMA_census_fauna
Cavolinia tridenta,mollusca,GoMA_census_fauna
Cavolinia uncinata,mollusca,GoMA_census_fauna
Cerithiopsis costulatum,mollusca,GoMA_census_fauna
Cerithiopsis greeni,mollusca,GoMA_census_fauna
Clio pyramidata,mollusca,GoMA_census_fauna
Clione limacina,mollusca,GoMA_census_fauna
Colus brevicaudata,mollusca,GoMA_census_fauna
Colus islandicus,mollusca,GoMA_census_fauna
Colus pubescens,mollusca,GoMA_census_fauna
Colus pygmaeus,mollusca,GoMA_census_fauna
Colus sabinii,mollusca,GoMA_census_fauna
Colus stimpsoni,mollusca,GoMA_census_fauna
Colus ventricosus,mollusca,GoMA_census_fauna
Costoanachis lafresnayi,mollusca,GoMA_census_fauna
Couthouyella striatula,mollusca,GoMA_census_fauna
Crepidula convexa,mollusca,GoMA_census_fauna
Crepidula fornicata,mollusca,GoMA_census_fauna
Crepidula plana,mollusca,GoMA_census_fauna
Creseis acicula,mollusca,GoMA_census_fauna
Creseis virgula,mollusca,GoMA_census_fauna
Cryptonatica affinis,mollusca,GoMA_census_fauna
Crucibulum striatum,mollusca,GoMA_census_fauna
Curtitoma decussata,mollusca,GoMA_census_fauna
Curtitoma hebes,mollusca,GoMA_census_fauna
Curtitoma incisula,mollusca,GoMA_census_fauna
Curtitoma reticulata,mollusca,GoMA_census_fauna
Curtitoma violacea,mollusca,GoMA_census_fauna
Cuvierina columnella,mollusca,GoMA_census_fauna
Diacria trispinosa,mollusca,GoMA_census_fauna
Elysia catulus,mollusca,GoMA_census_fauna
Elysia chlorotica,mollusca,GoMA_census_fauna
Epitonium greenlandicum,mollusca,GoMA_census_fauna
Epitonium rupicola,mollusca,GoMA_census_fauna
Ercolania fuscata,mollusca,GoMA_census_fauna
Eulimella polita,mollusca,GoMA_census_fauna
Eumetula arctica,mollusca,GoMA_census_fauna
Euspira heros,mollusca,GoMA_census_fauna
Euspira immaculata,mollusca,GoMA_census_fauna
Euspira levicula,mollusca,GoMA_census_fauna
Euspira nana,mollusca,GoMA_census_fauna
Euspira pallida,mollusca,GoMA_census_fauna
Euspira triseriata,mollusca,GoMA_census_fauna
Fargoa bartschi,mollusca,GoMA_census_fauna
Fargoa gibbosa,mollusca,GoMA_census_fauna
Fissurisepta profundi,mollusca,GoMA_census_fauna
Frigidoalvania brychia,mollusca,GoMA_census_fauna
Frigidoalvania pelagica,mollusca,GoMA_census_fauna
Gyraulus deflectus,mollusca,GoMA_census_fauna
Hedylopsis riseri,mollusca,GoMA_census_fauna
Helisoma anceps,mollusca,GoMA_census_fauna
Helisoma companulatum,mollusca,GoMA_census_fauna
Hyalocylis striata,mollusca,GoMA_census_fauna
Hydrobia totteni,mollusca,GoMA_census_fauna
Hydrobia truncata,mollusca,GoMA_census_fauna
Janthina janthina,mollusca,GoMA_census_fauna
Lacuna pallidula,mollusca,GoMA_census_fauna
Lacuna vincta,mollusca,GoMA_census_fauna
Lamellaria perspicua,mollusca,GoMA_census_fauna
Lepeta caeca,mollusca,GoMA_census_fauna
Leucophytia bidentata,mollusca,GoMA_census_fauna
Limacina inflata,mollusca,GoMA_census_fauna
Limacina retroversa,mollusca,GoMA_census_fauna
Limneria undata,mollusca,GoMA_census_fauna
Liostomia eburnea,mollusca,GoMA_census_fauna
Lischkeia ottoi,mollusca,GoMA_census_fauna
Lischkeia regularis,mollusca,GoMA_census_fauna
Littorina littorea,mollusca,GoMA_census_fauna
Littorina obtusata,mollusca,GoMA_census_fauna
Littorina saxatilis,mollusca,GoMA_census_fauna
Lora turricula,mollusca,GoMA_census_fauna
Lottia alveus,mollusca,GoMA_census_fauna
Lymnaea arctica,mollusca,GoMA_census_fauna
Lymnaea catascopium,mollusca,GoMA_census_fauna
Mangelia plicosa,mollusca,GoMA_census_fauna
Margarites argentatus,mollusca,GoMA_census_fauna
Margarites costalis,mollusca,GoMA_census_fauna
Margarites costalis costalis,mollusca,GoMA_census_fauna
Margarites groenlandicus,mollusca,GoMA_census_fauna
